ID,Command,CharacterName,Sentence
47,,,多くの文献があった。目の前に積まれた文字の群れ。
48,,,"意味を噛みしめるでもなく、疑問を抱くでもなく、ただ視線が自動的に行をなぞっていく。
"
49,,,"ページをめくる音だけが単調に繰り返され、意識はどこか遠くへ浮いたまま、身体だけが淡々と作業を続けていた。

"
50,,,頭の中は空白。
51,,,それでも目は文字を拾い、指は勝手に次のページを押し広げる。
52,,,理解しているのかどうかも分からない。
53,,,ただ、進むことだけが目的になっていた。
54,,,ついに最後のページをめくり終える。
55,,,"ーーすべてを読み切った達成感を全身に感じながら目の前が真っ暗になっていった。
"
56,,,"ーーNORMAL END

"
57,,神様,おっと、儂について教えるんじゃったな
58,,神様,良いことを教えてやろう
59,,神様,儂は性格が悪い、フォッフォッ
